<33,6>
<203,1>
<256,1>
<520,1>
<694,1>
<855,1>
<997,1>
<1063,2>
<1684,1>
<1737,1>
<1767,1>
<1803,4>
<1824,1>
<1890,1>
<2126,1>
<2515,2>
<2636,1>
<3045,4>
<3608,1>
<4552,1>
<4592,1>
<4647,1>
<4781,2>
<5619,1>
<6165,1>
<6351,1>
<6401,1>
<6520,1>
<6694,1>
<6785,1>
<7201,1>
<7215,2>
<7315,1>
<7431,1>
<7895,1>
<7961,1>
<8028,1>
<8103,1>
<8452,1>
<8489,1>
<9186,1>
<10094,1>
<10125,1>
<10353,1>
<10405,1>
<10773,1>
<10829,1>
<11085,2>
<11833,1>
<12207,1>
<12289,1>
<12401,1>
<12572,1>
<12811,1>
<12814,1>
<13332,3>
<13342,1>
<13873,2>
<14020,1>
<14024,1>
<14083,1>
<14183,1>
<14354,1>
<14463,1>
<15054,1>
<15280,1>
<15408,1>
<15614,1>
<16879,1>
<16913,1>
<16922,1>
<17306,2>
<17350,1>
<17703,1>
<17715,1>
<18373,1>
<18432,1>
<18562,1>
<18589,1>
<18658,1>
<18966,1>
<19371,1>
<19467,1>
<19804,3>
<19995,1>
<20457,1>
<20546,1>
