<209,4>
<620,1>
<900,1>
<1534,1>
<1741,1>
<4684,1>
<4703,1>
<6041,1>
<6430,1>
<6829,1>
<7420,1>
<7658,2>
<9115,2>
<9195,3>
<9594,1>
<9739,1>
<9853,1>
<11109,1>
<11125,1>
<12426,2>
<12472,1>
<12753,1>
<14232,1>
<14283,1>
<15545,1>
<15935,1>
<16906,1>
<18448,1>
<18576,2>
<19138,1>
<20768,1>
<21724,2>
<24191,1>
<25280,1>
<25678,1>
<28368,1>
<28774,1>
<28978,1>
<30214,1>
<30321,1>
<31222,1>
<32878,2>
<34658,1>
<35547,1>
<36175,1>
<37003,1>
<37550,1>
<38493,5>
<39252,1>
<40825,2>
<41231,1>
<46635,1>
<48200,1>
<48271,1>
<49021,1>
<50147,1>
<51606,2>
<52377,1>
<53536,1>
<53855,1>
<54366,1>
<54401,1>
<55622,2>
<56587,1>
<56678,1>
<58354,1>
<58364,1>
<58670,1>
<58978,1>
<59883,1>
<63352,2>
<63492,1>
<65915,1>
<68036,1>
<68840,1>
<69086,1>
<69104,1>
<69841,1>
<70300,1>
<71004,1>
<71170,1>
<72679,1>
<73155,1>
<74131,1>
<74303,5>
<75771,1>
<76044,1>
<77560,1>
<80215,1>
<82989,1>
<83173,1>
<83846,2>
<85282,1>
<85844,1>
<87372,1>
<87861,2>
<89166,1>
<89961,1>
<90313,2>
<92748,1>
<93872,1>
<94489,1>
<96805,2>
<96857,1>
<99619,1>
