<1872,3>
<6041,1>
<6297,2>
<9824,1>
<10484,1>
<10845,1>
<12753,1>
<12907,1>
<14290,1>
<15622,1>
<16765,1>
<16801,1>
<18192,1>
<22671,1>
<23856,1>
<23975,1>
<25280,1>
<26074,1>
<26985,1>
<29499,1>
<30214,1>
<30591,1>
<31801,1>
<34130,1>
<35547,1>
<37618,1>
<41198,1>
<41762,2>
<41826,1>
<43314,1>
<45741,1>
<46180,1>
<50672,1>
<52138,1>
<53374,1>
<55068,1>
<58159,1>
<58642,1>
<59373,1>
<61379,2>
<63733,1>
<64463,1>
<64896,1>
<65534,1>
<66147,1>
<66161,1>
<67629,1>
<69504,1>
<76044,1>
<77268,1>
<77594,1>
<79897,1>
<84843,2>
<85346,1>
<88041,1>
<88303,1>
<89169,1>
<90707,1>
<90748,1>
<92994,1>
<94227,1>
<95687,2>
<97061,1>
<98562,1>
