<88,54>
<125,2>
<181,1>
<202,1>
<230,1>
<606,1>
<656,7>
<904,1>
<1084,1>
<1246,1>
<1279,4>
<1347,20>
<1403,1>
<1740,2>
<1817,1>
<2112,1>
<2134,3>
<2343,2>
<2378,2>
<2683,1>
<2970,8>
<3025,1>
<3292,20>
<3317,1>
<3391,1>
<4261,1>
<4395,1>
<4684,2>
<4732,7>
<5014,1>
<5108,1>
<5496,1>
<5575,1>
<5585,1>
<5659,3>
<5699,1>
<5871,3>
<6006,12>
<6041,1>
<6380,9>
<6392,26>
<6543,2>
<6616,1>
<6649,1>
<6658,11>
<6696,3>
<6909,2>
<7113,1>
<7470,11>
<7557,4>
<7917,1>
<8013,2>
<8023,1>
<8071,2>
<8309,1>
<8344,1>
<8394,1>
<8507,1>
<8933,2>
<9175,2>
<9489,1>
<9755,2>
<9782,1>
<9836,5>
<9887,1>
<10482,1>
<10757,2>
<10793,1>
<11109,10>
<11123,11>
<11507,1>
<11515,4>
<11531,1>
<11850,1>
<11958,1>
<12051,1>
<12136,2>
<12320,2>
<12405,1>
<12409,1>
<12472,1>
<12526,1>
<12535,1>
<12753,1>
<12847,1>
<12867,1>
<12901,4>
<12907,7>
<12911,1>
<13052,11>
<13077,2>
<13217,1>
<13228,1>
<13264,3>
<13732,2>
<13886,1>
<14032,3>
<14372,2>
<14559,1>
<14652,1>
<14938,1>
<15037,1>
<15228,1>
<15381,3>
<15506,1>
<15604,5>
<15622,1>
<15935,6>
<15974,2>
<15992,1>
<16018,3>
<16039,1>
<16124,3>
<16160,1>
<16166,1>
<16169,2>
<16259,1>
<16313,2>
<16349,3>
<16489,1>
<16506,1>
<16597,1>
<16655,1>
<16686,2>
<16772,1>
<16801,6>
<16813,1>
<16879,1>
<17087,1>
<17097,1>
<17110,1>
<17183,4>
<17281,2>
<17310,3>
<17386,1>
<17437,6>
<17596,1>
<17679,1>
<17763,1>
<17935,5>
<18013,6>
<18182,3>
<18594,2>
<18929,1>
<18956,4>
<19018,1>
<19034,1>
<19197,2>
<19551,1>
<19657,1>
<19872,1>
<19890,2>
<19960,1>
<20077,1>
<20186,1>
<20219,1>
<20228,1>
<20506,3>
<20541,1>
<20836,2>
<21002,1>
<21075,2>
<21250,1>
<21445,2>
<21469,1>
<21623,1>
<21724,10>
<22116,1>
<22181,7>
<22194,1>
<22525,2>
<22663,1>
<23084,1>
<23298,1>
<23321,1>
<23536,2>
<23731,1>
<23744,2>
<23921,1>
<23958,1>
<23960,1>
<23975,1>
<24224,1>
<24237,1>
<24309,1>
<24445,1>
<24450,2>
<24621,1>
<24755,1>
<24786,1>
<24802,20>
<24899,49>
<25018,5>
<25087,1>
<25219,1>
<25280,2>
<25288,3>
<25296,1>
<25534,5>
<25808,1>
<26273,1>
<26293,2>
<26537,1>
<26711,1>
<27009,1>
<27077,3>
<27176,1>
<27581,1>
<27848,8>
<27872,1>
<27946,3>
<27992,1>
<28100,2>
<28110,2>
<28181,4>
<28322,1>
<28324,1>
<28370,1>
<28553,4>
<28648,3>
<28865,3>
<28926,3>
<28957,1>
<29188,2>
<29298,1>
<29314,2>
<29357,2>
<30274,3>
<30392,1>
<30462,1>
<30555,3>
<30727,1>
<30758,9>
<30832,2>
<30867,1>
<30930,3>
<30982,2>
<31015,3>
<31064,2>
<31131,3>
<31169,1>
<31222,2>
<31276,1>
<31324,2>
<31335,2>
<31630,1>
<31659,8>
<31919,1>
<32133,4>
<32357,1>
<32446,1>
<32534,1>
<32730,1>
<33037,1>
<33091,2>
<33159,1>
<33163,4>
<33183,1>
<33362,4>
<33396,1>
<33483,1>
<33631,3>
<33696,1>
<33781,1>
<33844,1>
<33935,1>
<34258,3>
<34298,3>
<34552,1>
<34564,1>
<34716,1>
<34879,1>
<34937,1>
<35170,1>
<35216,2>
<35362,7>
<35370,2>
<35425,10>
<35482,1>
<35507,1>
<35525,1>
<35665,1>
<35668,5>
<35719,3>
<35749,4>
<35836,3>
<35947,2>
<35959,1>
<36185,2>
<36269,1>
<36442,1>
<36462,1>
<36906,2>
<36957,1>
<37116,1>
<37253,1>
<37317,1>
<37413,3>
<37541,2>
<37550,1>
<37590,1>
<37618,1>
<37634,1>
<37772,1>
<37987,1>
<38053,1>
<38075,1>
<38141,1>
<38238,1>
<38406,4>
<38449,5>
<38489,2>
<38617,8>
<38922,2>
<38986,1>
<39014,1>
<39223,1>
<39397,1>
<39431,5>
<39489,1>
<39741,1>
<40215,2>
<40397,1>
<40439,2>
<40493,1>
<40636,1>
<40650,4>
<40780,1>
<40825,1>
<40973,5>
<41043,2>
<41088,3>
<41211,1>
<41556,1>
<41626,1>
<41703,15>
<41762,10>
<41847,1>
<42098,1>
<42193,6>
<42634,1>
<42888,1>
<42967,1>
<43532,1>
<43713,1>
<43859,3>
<44017,1>
<44085,2>
<44140,1>
<44246,1>
<44339,1>
<44472,1>
<44583,1>
<44709,1>
<44730,4>
<44853,1>
<44903,1>
<45059,4>
<45382,10>
<45477,1>
<45994,1>
<46210,5>
<46238,1>
<46495,1>
<46533,2>
<46600,1>
<46788,4>
<46834,1>
<46902,1>
<46945,6>
<46971,1>
<47058,3>
<47076,7>
<47083,4>
<47171,6>
<47179,2>
<47341,1>
<47533,1>
<47648,1>
<47712,1>
<47750,7>
<47779,1>
<47815,4>
<47892,1>
<47964,1>
<48145,1>
<48259,4>
<48426,2>
<48518,2>
<48595,1>
<48658,2>
<48664,1>
<48783,5>
<48866,1>
<48980,1>
<49130,1>
<49156,1>
<49265,2>
<49461,5>
<49512,1>
<49517,1>
<49535,1>
<49545,1>
<49598,1>
<49643,3>
<49864,1>
<50010,2>
<50034,5>
<50100,2>
<50337,3>
<50361,2>
<50466,2>
<50613,2>
<50724,1>
<50811,1>
<51137,3>
<51190,12>
<51399,2>
<51403,1>
<51606,1>
<52004,3>
<52060,4>
<52321,1>
<52462,1>
<52473,3>
<52567,2>
<52631,2>
<52720,1>
<52851,1>
<52964,6>
<52989,3>
<53216,3>
<53479,1>
<53855,1>
<53882,5>
<54180,2>
<54327,1>
<54480,2>
<54634,5>
<54846,1>
<54958,4>
<55020,2>
<55024,1>
<55266,1>
<55428,11>
<55435,6>
<55556,1>
<55681,1>
<55910,1>
<55963,13>
<56312,3>
<56347,4>
<56383,1>
<56516,2>
<56534,1>
<56587,7>
<56628,2>
<56631,7>
<56693,1>
<56911,3>
<56912,1>
<57060,1>
<57565,1>
<57649,42>
<57889,4>
<58114,1>
<58642,13>
<58970,1>
<59002,7>
<59071,1>
<59110,3>
<59147,8>
<59465,1>
<59600,1>
<60228,2>
<60589,3>
<60641,1>
<60739,1>
<60743,2>
<60788,1>
<60955,1>
<61029,2>
<61414,7>
<61712,1>
<61762,4>
<61807,1>
<61964,8>
<62087,1>
<62232,3>
<62373,1>
<62489,20>
<62495,1>
<62499,3>
<62509,1>
<62620,1>
<62705,1>
<63467,3>
<63571,2>
<63601,5>
<63733,1>
<63747,1>
<63869,4>
<64009,3>
<64266,2>
<64302,1>
<64354,1>
<64417,2>
<64812,8>
<64844,2>
<65029,1>
<65114,1>
<65358,1>
<65590,1>
<65872,1>
<65915,5>
<66137,5>
<66320,2>
<66435,4>
<66464,1>
<66638,1>
<66704,1>
<66709,1>
<66809,1>
<66852,1>
<66956,2>
<67007,1>
<67021,1>
<67062,1>
<67188,10>
<67359,1>
<67393,2>
<67638,1>
<67906,2>
<68051,1>
<68066,6>
<68159,1>
<68521,1>
<68698,1>
<68857,2>
<68950,1>
<68967,1>
<69086,9>
<69105,1>
<69109,1>
<69198,7>
<69429,1>
<69440,1>
<69504,11>
<69621,5>
<69667,2>
<69668,1>
<69679,2>
<69821,1>
<69822,1>
<70104,7>
<70139,13>
<70255,1>
<70342,1>
<70428,2>
<70607,1>
<70872,1>
<70924,1>
<71170,8>
<71181,1>
<71406,1>
<71526,2>
<71820,6>
<71943,1>
<71972,3>
<71986,1>
<72505,2>
<72546,1>
<72899,1>
<73130,1>
<73194,2>
<73372,2>
<73669,1>
<73729,1>
<73779,1>
<73840,1>
<73859,1>
<73940,1>
<74131,2>
<74214,1>
<74276,2>
<74635,1>
<74647,2>
<74704,2>
<74979,1>
<75058,2>
<75162,13>
<75168,3>
<75277,1>
<75313,2>
<75485,2>
<75686,1>
<76036,4>
<76044,2>
<76249,1>
<76556,5>
<76941,1>
<77111,1>
<77276,9>
<77365,1>
<77433,1>
<77482,3>
<77646,9>
<77969,12>
<78202,1>
<78378,4>
<78382,1>
<78698,7>
<78733,42>
<78928,1>
<78990,9>
<79043,1>
<79288,1>
<79389,1>
<79419,1>
<79541,1>
<79557,5>
<79595,1>
<79620,1>
<79632,6>
<79797,5>
<80027,20>
<80465,4>
<80754,1>
<81023,8>
<81035,3>
<81430,2>
<81485,1>
<81862,1>
<82031,1>
<82113,1>
<82182,1>
<82275,1>
<82332,1>
<82381,1>
<83302,2>
<83357,3>
<83454,1>
<83464,3>
<83708,1>
<83803,1>
<83843,5>
<83926,7>
<83942,1>
<84024,2>
<84108,1>
<84476,1>
<84878,1>
<85049,1>
<85066,1>
<85149,1>
<85158,1>
<85282,1>
<85459,2>
<85617,9>
<85618,1>
<85619,1>
<85740,4>
<85741,1>
<85759,2>
<85775,24>
<85787,16>
<85904,1>
<85992,1>
<86127,14>
<86330,13>
<86443,2>
<86554,1>
<86593,1>
<86634,1>
<86783,1>
<86799,2>
<86905,2>
<86962,1>
<87197,6>
<87301,3>
<87351,1>
<87457,3>
<87488,1>
<87513,9>
<87755,1>
<88064,1>
<88306,17>
<88311,2>
<88544,1>
<88652,3>
<88658,4>
<88674,1>
<88803,4>
<88812,1>
<88842,1>
<88873,1>
<88979,3>
<89028,2>
<89236,1>
<89247,1>
<89285,2>
<89387,1>
<89399,1>
<89512,2>
<89698,1>
<89763,1>
<89811,5>
<89823,1>
<89853,1>
<89878,1>
<89982,1>
<90017,1>
<90293,2>
<90462,2>
<90506,2>
<90942,1>
<91290,1>
<91318,9>
<91418,1>
<91895,1>
<91933,1>
<92023,1>
<92138,2>
<92295,1>
<92452,1>
<92513,2>
<92612,2>
<92745,3>
<92978,1>
<93139,5>
<93179,1>
<93544,1>
<93615,3>
<93796,1>
