<242,6>
<6041,1>
<8022,5>
<9739,2>
<10511,2>
<12753,1>
<13728,1>
<16778,1>
<16964,1>
<18250,1>
<18614,2>
<18734,2>
<18887,2>
<19059,1>
<19104,1>
<19678,1>
<20084,2>
<22356,3>
<22663,1>
<24386,1>
<27226,1>
<32182,1>
<35465,2>
<36162,1>
<36274,3>
<36906,1>
<38406,1>
<38828,1>
<41293,1>
<42529,1>
<43011,1>
<46003,2>
<46403,1>
<46845,2>
<48166,1>
<48966,1>
<53536,1>
<55422,1>
<57889,1>
<58862,1>
<61375,2>
<61773,1>
<63709,1>
<67498,2>
<68051,1>
<68698,1>
<69504,1>
<69818,1>
<70097,2>
<71820,1>
<75516,2>
<76044,1>
<77523,1>
<77560,1>
<78142,1>
<78505,1>
<81215,1>
<81282,1>
<83139,1>
<90136,3>
<92743,1>
<93316,1>
<93615,1>
<94634,1>
<96564,1>
<97372,1>
<99531,1>
